Date,Key,Decopler Box,HV Board,HV CH,Flange ID,ADC Board Order,ADC Board,ADC CH,PMT,HV,Position,Coating,X,Y,Z
2019-07-22,64,2,2,3,F1R5,4,105,0,FB0440,1730,VB5,0,-999,-999,-999
2019-07-22,65,2,2,15,F1R3,4,105,1,FB0468,1680,VB3,0,-999,-999,-999
2019-07-22,66,2,2,27,F2G12,4,105,2,FB0550,1540,C14R2,1,-1.02002,-0.273313,0.211
2019-07-22,67,2,2,39,F2B15,4,105,3,FB0572,1530,C10R1,0,-0.746705,0.746705,0.422
2019-07-22,68,1,0,3,F2B19,4,105,4,FB0630,1580,C10R5,0,-0.746705,0.746705,-0.422
2019-07-22,69,1,0,15,F2B24,4,105,5,FB0583,1490,C11R5,0,-0.914523,0.528,-0.422
2019-07-22,70,1,0,27,F2G3,4,105,6,FB0580,1430,C12R3,0,-1.02002,0.273313,0
2019-07-22,71,3,4,4,F1Y14,4,105,7,FB0647,1450,C18R2,1,-0.273313,-1.02002,0.211
2019-07-22,72,3,4,16,F1B12,4,105,8,FB0559,1970,C21R3,0,0.528,-0.914523,0
2019-07-22,73,3,4,28,F1G17,4,105,9,FB0477,1520,C3R2,0,0.914523,0.528,0.211
2019-07-22,74,3,4,40,F1G7,4,105,10,FB0519,1600,C1R2,0,1.056,0,0.211
2019-07-22,75,2,2,4,F1B3,4,105,11,FB0646,1420,C19R4,1,-1.93984E-16,-1.056,-0.211
2019-07-22,76,2,2,16,F1Y3,4,105,12,FB0461,1710,C16R1,0,-0.746705,-0.746705,0.422
2019-07-22,77,2,2,28,F2Y6,4,105,13,FB0505,1550,C4R4,0,0.746705,0.746705,-0.211
2019-07-22,78,2,2,40,F2G16,4,105,14,FB0534,1630,C15R1,0,-0.914523,-0.528,0.422
2019-07-22,80,3,4,5,F1B22,5,95,0,FB0517,1350,C23R3,0,0.914523,-0.528,0
2019-07-22,81,3,4,17,F1B11,5,95,1,FB0566,1520,C21R2,0,0.528,-0.914523,0.211
