Decoupler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMTID,HV Value,Position,Coating,X,Y,Z,ADC2PE,Threshold ,ADC2PE2,HV On,SPE rate,"Type (1in,2uncoat,3coat)",Cable#,Flange_num,Ring_num,Swage_num,Key
4,4,29,F2,Y1,F2Y1,12,13,2,FB0712,1735,C5R3,0,51,88.3346,0,27.97,-1,27.97,1,1,3,60,2,2,1,194
4,4,30,F2,R8,F2R8,12,13,3,FB0851,1667,C5R1,0,51,88.3346,46.22,42.26,-1,42.26,1,1,3,58,2,1,8,195
4,4,31,F1,G3,F1G3,12,13,4,FB0838,1659,C1R4,U,102,0,-23.11,32.82,-1,32.82,1,1,2,47,1,3,3,196
4,4,32,F1,G5,F1G5,12,13,5,FB0786,1646,C2R1,U,98.5244,26.3995,46.22,41.28,-1,41.28,1,1,2,45,1,3,5,197
4,4,33,F1,G1,F1G1,12,13,6,FB0837,1550,C1R1,0,102,0,46.22,49.54,-1,49.54,1,1,3,49,1,3,1,198
4,4,34,F2,G7,F2G7,12,13,7,FB0724,1702,C10R1,U,-72.1249,72.1249,46.22,40.58,-1,40.58,1,1,2,81,2,3,7,199
4,4,35,F2,G10,F2G10,12,13,8,FB0678,1750,C9R2,0,-51,88.3346,23.11,43.83,-1,43.83,1,1,3,84,2,3,10,200
4,4,38,F2,Y4,F2Y4,12,13,9,FB0853,1631,C24R4,0,98.5244,-26.3995,-23.11,39.78,-1,39.78,1,1,3,63,2,2,4,201
4,4,39,F2,R2,F2R2,12,13,10,FB0695,1634,C3R5,U,88.3346,51,-46.22,34.94,-1,34.94,1,1,2,52,2,1,2,202
4,4,40,F2,R1,F2R1,12,13,11,FB0777,1645,C3R3,0,88.3346,51,0,33.73,-1,33.73,1,1,3,51,2,1,1,203
4,4,41,F2,R5,F2R5,12,13,12,FB0803,1726,C3R2,0,88.3346,51,23.11,27.84,-1,27.84,1,1,3,55,2,1,5,204
4,4,42,F2,R3,F2R3,12,13,13,FB0775,1679,C3R1,0,88.3346,51,46.22,39.81,-1,39.81,1,1,3,53,2,1,3,205
4,4,43,F1,G2,F1G2,12,13,14,FB0832,1680,C1R3,0,102,0,0,49.9,-1,49.9,1,1,3,46,1,3,2,206
4,4,44,F1,G6,F1G6,13,14,0,FB0687,1750,C1R2,0,102,0,23.11,30.38,-1,30.38,1,1,3,50,1,3,6,208
4,4,45,F1,Y14,F1Y14,13,14,1,FB0836,1699,C2R2,0,98.5244,26.3995,23.11,33.51,-1,33.51,1,1,3,43,1,2,14,209
4,4,46,F2,G9,F2G9,13,14,2,FB0677,1735,C9R5,0,-51,88.3346,-46.22,30.57,-1,30.57,1,1,3,83,2,3,9,210
4,4,47,F2,G14,F2G14,13,14,3,FB0675,1671,C9R3,0,-51,88.3346,0,39.25,-1,39.25,1,1,3,88,2,3,14,211
5,0,8,F1,B17,F1B17,13,14,4,FB0765,1584,C310R6,0,-50.1591,-36.4427,-58,30.5,-1,30.5,1,1,3,166,1,4,17,212
5,0,36,F1,I34,F1I34,13,14,5,FB0693,1750,C414R6,U,-48.7862,-67.1484,58,32,-1,32,1,1,2,179,1,5,34,213
5,0,5,F3,Y1,F3Y1,13,14,6,FB0779,1587,C203R0,0,12.6697,38.9933,58,32.36,-1,32.36,1,1,3,30,3,2,1,214
5,0,37,F1,I11,F1I11,13,14,7,FB0636,1620,C203R6,0,12.6697,38.9933,-58,37.39,-1,37.39,1,1,3,190,1,5,11,215
