Decopler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMT,HV,Position,Coating,X,Y,Z,ADCtoPE,Threshold,ADCtoPE2,HV On,SPE rate(kHz),"Type (1”,2uncoat,3coat)",Cable#,Swage,Column,Row,Hvrec,Hvmatch,Key,PMT Type,Avg SPE value
4,4,29,F2,Y2,F2Y2,13,13,3,FB0712,1652,C5R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,60,1,5,3,1600,1652,194,-999,22.322
4,4,3,F2,Y2,F2Y2,11,11,9,FB0696,1576,C24R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,61,2,24,5,1600,1576,168,-999,37.84
4,4,13,F2,Y2,F2Y2,12,12,3,FB0674,1660,C24R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,62,3,24,2,1600,1660,178,-999,21.146
4,4,38,F2,Y2,F2Y2,13,13,10,FB0853,1671,C24R4,uncoated,-999,-999,-999,-999,-999,-999,1,-999,2,63,4,24,4,1600,1671,201,-999,19.594
4,4,25,F2,Y2,F2Y2,12,12,14,FB0731,1709,C24R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,64,5,24,1,1600,1709,189,-999,15.062
4,4,2,F2,Y2,F2Y2,11,11,8,FB0705,1700,C24R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,65,6,24,3,1600,1700,167,-999,-53.034
4,4,15,F2,Y2,F2Y2,12,12,5,FB0772,1700,C23R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,66,7,23,4,1600,1700,180,-999,-3.9
4,4,26,F2,Y2,F2Y2,12,12,15,FB0773,1700,C23R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,67,8,23,3,1600,1700,190,-999,7.842
4,4,1,F2,Y2,F2Y2,11,11,7,FB0768,1700,C23R1,uncoated,-999,-999,-999,-999,-999,-999,1,-999,2,68,9,23,1,1600,1700,166,-999,2.912
4,4,14,F2,Y2,F2Y2,12,12,4,FB0855,1636,C23R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,69,10,23,2,1600,1636,179,-999,24.912
4,4,27,F2,Y2,F2Y2,13,13,1,FB0845,1700,C23R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,70,11,23,5,1600,1700,192,-999,7.144
3,3,42,F2,Y2,F2Y2,10,10,15,FB0713,1720,C4R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,71,12,4,5,1600,1720,158,-999,13.916
3,3,30,F2,Y2,F2Y2,10,10,3,FB0681,1637,C4R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,72,13,4,3,1600,1637,146,-999,24.828
3,3,17,F2,Y2,F2Y2,9,9,3,FB0798,1499,C4R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,73,14,4,4,1600,1499,130,-999,64.332
3,3,18,F2,Y2,F2Y2,9,9,4,FB0774,1666,C4R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,74,15,4,2,1600,1666,131,-999,20.3164
3,3,6,F2,G3,F2G3,8,8,7,FB0771,1648,C4R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,75,1,4,1,1600,1648,118,-999,22.966
3,3,29,F2,G3,F2G3,10,10,2,FB0766,1434,C8R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,76,2,8,1,1600,1434,145,-999,101.412
4,4,18,F2,G3,F2G3,12,12,8,FB0729,1719,C8R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,77,3,8,5,1600,1719,183,-999,14.054
4,4,5,F2,G3,F2G3,11,11,11,FB0807,1674,C8R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,78,4,8,4,1600,1674,170,-999,19.196
4,4,6,F2,G3,F2G3,11,11,12,FB0676,1556,C8R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,79,5,8,3,1600,1556,171,-999,43.514
3,3,41,F2,G3,F2G3,10,10,14,FB0679,1439,C8R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,80,6,8,2,1600,1439,157,-999,97.568
4,4,34,F2,G3,F2G3,13,13,8,FB0724,1578,C10R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,81,7,10,1,1600,1578,199,-999,37.224
4,4,11,F2,G3,F2G3,12,12,2,FB0673,1649,C9R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,82,8,9,4,1600,1649,177,-999,22.81
4,4,46,F2,G3,F2G3,14,14,3,FB0677,1645,C9R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,83,9,9,5,1600,1645,210,-999,23.392
4,4,35,F2,G3,F2G3,13,13,9,FB0678,1729,C9R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,84,10,9,2,1600,1729,200,-999,13.122
4,4,10,F2,G3,F2G3,12,12,1,FB0808,1700,C10R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,85,11,10,3,1600,1700,176,-999,0.026
4,4,22,F2,G3,F2G3,12,12,12,FB0813,1550,C10R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,86,12,10,2,1600,1550,187,-999,45.262
4,4,9,F2,G3,F2G3,11,11,15,FB0802,1545,C10R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,87,13,10,5,1600,1545,174,-999,46.716
4,4,47,F2,G3,F2G3,14,14,4,FB0675,1685,C9R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,88,14,9,3,1600,1685,211,-999,17.734
4,4,23,F2,G3,F2G3,12,12,13,FB0804,1452,C9R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,89,15,9,1,1600,1452,188,-999,88.958
4,4,21,F2,G3,F2G3,12,12,11,FB0815,1634,C10R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,90,16,10,4,1600,1634,186,-999,25.31
2,2,6,F3,Y2,F3Y2,6,6,3,FB0840,1633,C11R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,91,12,11,1,1600,1633,82,-999,25.526
2,2,42,F3,Y2,F3Y2,7,7,9,FB0809,1581,C11R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,92,13,11,3,1600,1581,104,-999,36.478
2,2,17,F3,Y2,F3Y2,6,6,9,FB0799,1648,C11R2,uncoated ,-999,-999,-999,-999,-999,-999,1,-999,2,93,14,11,2,1600,1648,88,-999,22.952
3,3,5,F3,Y2,F3Y2,8,8,6,FB0776,1526,C11R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,94,15,11,4,1600,1526,117,-999,53.628
2,2,5,F3,G3,F3G3,6,6,2,FB0844,1654,C11R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,95,1,11,5,1600,1654,81,-999,21.944
2,2,4,F3,G3,F3G3,6,6,1,FB0812,1700,C13R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,96,2,13,5,1600,1700,80,-999,9.534
2,2,30,F3,G3,F3G3,7,7,2,FB0841,1607,C12R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,97,3,12,1,1600,1607,97,-999,30.548
