Decoupler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMTID,HV Value,Position,Coating,X,Y,Z,ADC2PE,Threshold,ADC2PE2,HV On,SPE rate,"Type (1in,2uncoat,3coat)",Cable#,Flange_num,Ring_num,Swage_num,Key
2,2,44,F3,I8,F3I8,6,7,11,FB0613,1615,C7R4,0,-1.06E-11,102,-23.11,34.66,10.75,34.66,1,1,3,157,3,5,8,107
2,2,31,F3,I10,F3I10,6,7,3,FB0614,1500,C7R5,U,-1.06E-11,102,-46.22,37.01,12.75,37.01,1,1,2,159,3,5,10,99
5,0,16,F1,I17,F1I17,14,15,14,FB0615,1560,C406R6,0,-8.6E-12,83,58,36.67,20.25,36.67,1,1,3,196,1,5,17,238
3,3,8,F1,G17,F1G17,7,8,9,FB0616,1645,C22R2,0,72.1249,-72.1249,23.11,31.53,9.75,31.53,1,1,3,136,1,3,17,121
3,3,44,F1,G18,F1G18,10,11,2,FB0617,1653,C22R4,0,72.1249,-72.1249,-23.11,32.36,8.75,32.36,1,1,3,137,1,3,18,162
2,2,19,F3,I2,F3I2,5,6,11,FB0618,1690,C6R4,0,26.3995,98.5244,-23.11,27.89,11.25,27.89,1,1,3,151,3,5,2,91
3,3,33,F1,G19,F1G19,9,10,6,FB0619,1582,C22R1,U,72.1249,-72.1249,46.22,14,8.75,14,1,1,2,138,1,3,19,150
2,2,45,F3,I9,F3I9,6,7,12,FB0620,1576,C6R1,U,26.3995,98.5244,46.22,35.28,11.25,35.28,1,1,2,158,3,5,9,108
3,3,46,F3,B5,F3B5,10,11,4,FB0620,1692,C19R1,0,3.17E-11,-102,46.22,31.83,9.75,31.83,1,1,3,121,3,4,5,164
5,0,41,F1,I13,F1I13,15,16,10,FB0626,1800,C102R6,0,6.18034,19.0211,-58,21.3,9.25,21.3,1,1,3,192,1,5,13,250
1,1,25,F1,B13,F1B13,3,4,4,FB0628,1794,C308R6,0,-60.6452,12.8905,-58,19.59,8.75,19.59,1,1,3,162,1,4,13,52
5,0,37,F1,I11,F1I11,13,14,7,FB0636,1620,C203R6,0,12.6697,38.9933,-58,29.95,10.25,29.95,1,1,3,190,1,5,11,215
2,2,12,F1,I8,F1I8,3,4,9,FB0645,1646,C303R6,0,41.4861,46.075,-58,36.06,10.75,36.06,1,1,3,187,1,5,8,57
