Decoupler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMTID,HV Value,Position,Coating,X,Y,Z,ADC2PE,Threshold,ADC2PE2,HV On,SPE rate,"Type (1in,2uncoat,3coat)",Cable#,Flange_num,Ring_num,Swage_num,Key
4,4,24,F1,R5,F1R5,4,5,13,FB0790,1637,C201R0,0,41.0,0.0,58.0,32.31,19.25,32.31,1,1,3,5,1,1,5,77
4,4,36,F1,R4,F1R4,4,5,14,FB0791,1611,C210R0,0,33.1697,-24.0992,58.0,28.69,9.25,28.69,1,1,3,4,1,1,4,78
2,2,23,F1,B5,F1B5,5,6,0,FB0821,1706,C17R2,0,-51.0,-88.3346,23.11,24.92,3.75,24.92,1,1,3,146,1,4,5,80
2,2,4,F3,G2,F3G2,5,6,1,FB0812,1714,C13R5,0,-102.0,-2.11413e-11,-46.22,26.89,2.25,26.89,1,1,3,96,3,3,2,81
2,2,5,F3,G1,F3G1,5,6,2,FB0844,1654,C11R5,U,-88.3346,51.0,-46.22,28.2,9.75,28.2,1,1,2,95,3,3,1,82
2,2,6,F3,Y12,F3Y12,5,6,3,FB0840,1687,C11R1,0,-88.3346,51.0,46.22,24.0,3.75,24.0,1,1,3,91,3,2,12,83
2,2,7,F3,I6,F3I6,5,6,4,FB0472,1820,C7R3,0,-1.05706e-11,102.0,0.0,18.0,3.75,18.0,1,1,3,155,3,5,6,84
2,2,8,F3,I4,F3I4,5,6,5,FB0612,1635,C6R2,0,26.3995,98.5244,23.11,38.0,3.75,38.0,1,1,3,153,3,5,4,85
2,2,9,F1,B2,F1B2,5,6,6,FB0730,1601,C18R4,0,-26.3995,-98.5244,-23.11,30.42,5.75,30.42,1,1,3,143,1,4,2,86
2,2,10,F1,B4,F1B4,5,6,7,FB0820,1750,C18R3,0,-26.3995,-98.5244,0.0,11.82,4.75,11.82,1,1,3,145,1,4,4,87
2,2,11,F1,B9,F1B9,5,6,8,FB0763,1750,C17R1,0,-51.0,-88.3346,46.22,29.17,3.75,29.17,1,1,3,150,1,4,9,88
2,2,17,F3,Y14,F3Y14,5,6,9,FB0799,1750,C11R2,0,-88.3346,51.0,23.11,21.91,9.75,21.91,1,1,3,93,3,2,14,89
2,2,18,F3,G6,F3G6,5,6,10,FB0800,1718,C13R1,0,-102.0,-2.11413e-11,46.22,25.33,6.25,25.33,1,1,3,100,3,3,6,90
2,2,19,F3,I2,F3I2,5,6,11,FB0618,1690,C6R4,0,26.3995,98.5244,-23.11,27.89,11.25,27.89,1,1,3,151,3,5,2,91
2,2,20,F1,I18,F1I18,5,6,12,FB0755,1658,C7R2,0,-1.05706e-11,102.0,23.11,31.0,4.25,31.0,1,1,3,154,1,5,18,92
2,2,21,F1,B6,F1B6,5,6,13,FB0818,1690,C17R5,0,-51.0,-88.3346,-46.22,17.01,5.75,17.01,1,1,3,147,1,4,6,93
2,2,22,F1,G22,F1G22,5,6,14,FB0825,1686,C18R2,0,-26.3995,-98.5244,23.11,29.11,4.75,29.11,1,1,3,141,1,3,22,94
5,0,33,F3,Y2,F3Y2,6,7,0,FB0667,1645,C407R0,U,-25.6484,78.9377,-58.0,27.77,11.25,27.77,1,1,2,31,3,2,2,96
2,2,29,F3,G5,F3G5,6,7,1,FB0849,1664,C12R2,U,-98.5244,26.3995,23.11,34.45,3.75,34.45,1,1,2,99,3,3,5,97
2,2,30,F3,G3,F3G3,6,7,2,FB0841,1650,C12R1,0,-98.5244,26.3995,46.22,22.0,8.25,22.0,1,1,3,97,3,3,3,98
2,2,31,F3,I10,F3I10,6,7,3,FB0614,1500,C7R5,U,-1.05706e-11,102.0,-46.22,37.01,12.75,37.01,1,1,2,159,3,5,10,99
2,2,32,F3,I7,F3I7,6,7,4,FB0469,1628,C6R3,0,26.3995,98.5244,0.0,15.61,4.75,15.61,1,1,3,156,3,5,7,100
2,2,33,F3,I11,F3I11,6,7,5,FB0482,1750,C7R1,0,-1.05706e-11,102.0,46.22,18.84,10.25,18.84,1,1,3,160,3,5,11,101
2,2,34,F1,B7,F1B7,6,7,6,FB0748,1750,C18R5,0,-26.3995,-98.5244,-46.22,29.46,10.75,29.46,1,1,3,148,1,4,7,102
2,2,35,F1,B1,F1B1,6,7,7,FB0672,1593,C18R1,U,-26.3995,-98.5244,46.22,32.88,10.25,32.88,1,1,2,142,1,4,1,103
2,2,41,F3,G4,F3G4,6,7,8,FB0842,1566,C12R3,0,-98.5244,26.3995,0.0,32.38,10.25,32.38,1,1,3,98,3,3,4,104
