Decopler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMT,HV,Position,Coating,X,Y,Z,ADCtoPE,Threshold,ADCtoPE2,HV On,SPE rate(kHz),"Type (1”,2uncoat,3coat)",Cable#,Swage,Column,Row,Hvrec,Hvmatch,Key,PMT Type,Avg SPE value
1,1,42,F3,B4,F3B4,3,3,12,V15,825,VCB10,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,1,201,10,-999,-999,850.0,825,43.0,-999.0,-999.0
1,1,6,F3,B4,F3B4,1,1,6,V29,825,VT10,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,1,202,11,-999,-999,850.0,825,5.0,-999.0,-999.0
1,1,29,F3,B4,F3B4,2,2,14,V34,825,VCB6,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,1,203,12,-999,-999,850.0,825,29.0,-999.0,-999.0
1,1,5,F3,B4,F3B4,1,1,5,V11,825,VCT9,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,1,204,13,-999,-999,850.0,825,4.0,-999.0,-999.0
1,1,31,F3,B4,F3B4,2,2,1,V33,825,VCB12,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,1,205,14,-999,-999,850.0,825,16.0,-999.0,-999.0
1,1,30,F3,B4,F3B4,2,2,15,V27,825,VCT11,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,1,206,15,-999,-999,850.0,825,30.0,-999.0,-999.0
1,1,17,F3,B4,F3B4,2,2,2,V28,825,VCT13,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,1,207,16,-999,-999,850.0,825,17.0,-999.0,-999.0
1,1,43,F3,B4,F3B4,3,3,13,V8,825,VT12,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,1,208,17,-999,-999,850.0,825,44.0,-999.0,-999.0
1,1,19,F3,B4,F3B4,2,2,4,V28,825,VCB2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,1,209,18,-999,-999,850.0,825,19.0,-999.0,-999.0
1,1,18,F3,B4,F3B4,2,2,3,V6,825,VCT7,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,1,210,19,-999,-999,850.0,825,18.0,-999.0,-999.0
1,1,46,F3,B4,F3B4,1,1,12,V16,825,VCT15,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,1,211,20,-999,-999,850.0,825,11.0,-999.0,-999.0
1,1,32,F3,B4,F3B4,3,3,2,V31,825,VT18,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,1,212,21,-999,-999,850.0,825,33.0,-999.0,-999.0
