Decopler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMT,HV,Position,Coating,X,Y,Z,ADCtoPE,Threshold,ADCtoPE2,HV On,SPE rate(kHz),"Type (1”,2uncoat,3coat)",Cable#,Swage,Column,Row,Hvrec,Hvmatch,Key,PMT Type,Avg SPE value
4,4,4,F2,R1,F2R1,11,11,10,FB0846,1684,C3R4,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,54,4,3,4,1600.0,1684,169.0,-999.0,17.882
4,4,41,F2,R1,F2R1,13,13,13,FB0803,1658,C3R2,uncoated ,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,2,55,5,3,2,1600.0,1658,204.0,-999.0,21.402
4,4,17,F2,R1,F2R1,12,12,7,FB0680,1608,C5R2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,56,6,5,2,1600.0,1608,182.0,-999.0,30.228
4,4,28,F2,R1,F2R1,13,13,2,FB0709,1505,C5R5,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,57,7,5,5,1600.0,1505,193.0,-999.0,61.688
4,4,30,F2,R1,F2R1,13,13,4,FB0851,1703,C5R1,uncoated ,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,2,58,8,5,1,1600.0,1703,195.0,-999.0,15.65
4,4,16,F2,R1,F2R1,12,12,6,FB0727,1718,C5R4,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,59,9,5,4,1600.0,1718,181.0,-999.0,14.132
4,4,29,F2,Y2,F2Y2,13,13,3,FB0712,1652,C5R3,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,60,1,5,3,1600.0,1652,194.0,-999.0,22.322
4,4,3,F2,Y2,F2Y2,11,11,9,FB0696,1576,C24R5,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,61,2,24,5,1600.0,1576,168.0,-999.0,37.84
4,4,13,F2,Y2,F2Y2,12,12,3,FB0674,1660,C24R2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,62,3,24,2,1600.0,1660,178.0,-999.0,21.146
4,4,38,F2,Y2,F2Y2,13,13,10,FB0853,1671,C24R4,uncoated,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,2,63,4,24,4,1600.0,1671,201.0,-999.0,19.594
4,4,25,F2,Y2,F2Y2,12,12,14,FB0731,1709,C24R1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,64,5,24,1,1600.0,1709,189.0,-999.0,15.062
4,4,2,F2,Y2,F2Y2,11,11,8,FB0705,1700,C24R3,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,65,6,24,3,1600.0,1700,167.0,-999.0,-53.034
4,4,15,F2,Y2,F2Y2,12,12,5,FB0772,1700,C23R4,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,66,7,23,4,1600.0,1700,180.0,-999.0,-3.9
4,4,26,F2,Y2,F2Y2,12,12,15,FB0773,1700,C23R3,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,67,8,23,3,1600.0,1700,190.0,-999.0,7.842
4,4,1,F2,Y2,F2Y2,11,11,7,FB0768,1700,C23R1,uncoated,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,2,68,9,23,1,1600.0,1700,166.0,-999.0,2.912
4,4,14,F2,Y2,F2Y2,12,12,4,FB0855,1636,C23R2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,69,10,23,2,1600.0,1636,179.0,-999.0,24.912
4,4,27,F2,Y2,F2Y2,13,13,1,FB0845,1700,C23R5,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,70,11,23,5,1600.0,1700,192.0,-999.0,7.144
3,3,42,F2,Y2,F2Y2,10,10,15,FB0713,1720,C4C5,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,71,12,4,5,1600.0,1720,158.0,-999.0,13.916
3,3,30,F2,Y2,F2Y2,10,10,3,FB0681,1637,C4R3,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,72,13,4,3,1600.0,1637,146.0,-999.0,24.828
3,3,17,F2,Y2,F2Y2,9,9,3,FB0798,1499,C4R4,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,73,14,4,4,1600.0,1499,130.0,-999.0,64.332
3,3,18,F2,Y2,F2Y2,9,9,4,FB0774,1666,C4R2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,74,15,4,2,1600.0,1666,131.0,-999.0,20.3164
3,3,6,F2,G3,F2G3,8,8,7,FB0771,1648,C4R1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,75,1,4,1,1600.0,1648,118.0,-999.0,22.966
3,3,29,F2,G3,F2G3,10,10,2,FB0766,1434,C8R1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,76,2,8,1,1600.0,1434,145.0,-999.0,101.412
4,4,18,F2,G3,F2G3,12,12,8,FB0729,1719,C8R5,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,77,3,8,5,1600.0,1719,183.0,-999.0,14.054
4,4,5,F2,G3,F2G3,11,11,11,FB0807,1674,C8R4,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,78,4,8,4,1600.0,1674,170.0,-999.0,19.196
4,4,6,F2,G3,F2G3,11,11,12,FB0676,1556,C8R3,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,79,5,8,3,1600.0,1556,171.0,-999.0,43.514
3,3,41,F2,G3,F2G3,10,10,14,FB0679,1439,C8R2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,80,6,8,2,1600.0,1439,157.0,-999.0,97.568
4,4,34,F2,G3,F2G3,13,13,8,FB0724,1578,C10R1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,81,7,10,1,1600.0,1578,199.0,-999.0,37.224
4,4,11,F2,G3,F2G3,12,12,2,FB0673,1649,C9R4,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,82,8,9,4,1600.0,1649,177.0,-999.0,22.81
4,4,46,F2,G3,F2G3,14,14,3,FB0677,1645,C9R5,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,83,9,9,5,1600.0,1645,210.0,-999.0,23.392
4,4,35,F2,G3,F2G3,13,13,9,FB0678,1729,C9R2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,84,10,9,2,1600.0,1729,200.0,-999.0,13.122
4,4,10,F2,G3,F2G3,12,12,1,FB0808,1700,C10R3,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,85,11,10,3,1600.0,1700,176.0,-999.0,0.026
4,4,22,F2,G3,F2G3,12,12,12,FB0813,1550,C10R2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,86,12,10,2,1600.0,1550,187.0,-999.0,45.262
4,4,9,F2,G3,F2G3,11,11,15,FB0802,1545,C10R5,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,87,13,10,5,1600.0,1545,174.0,-999.0,46.716
4,4,47,F2,G3,F2G3,14,14,4,FB0675,1685,C9R3,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,88,14,9,3,1600.0,1685,211.0,-999.0,17.734
4,4,23,F2,G3,F2G3,12,12,13,FB0804,1452,C9R1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,89,15,9,1,1600.0,1452,188.0,-999.0,88.958
4,4,21,F2,G3,F2G3,12,12,11,FB0815,1634,C10R4,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,90,16,10,4,1600.0,1634,186.0,-999.0,25.31
2,2,6,F3,Y2,F3Y2,6,6,3,FB0840,1633,C11R1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,91,12,11,1,1600.0,1633,82.0,-999.0,25.526
2,2,42,F3,Y2,F3Y2,7,7,9,FB0809,1581,C11R3,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,92,13,11,3,1600.0,1581,104.0,-999.0,36.478
2,2,17,F3,Y2,F3Y2,6,6,9,FB0799,1648,C11R2,uncoated ,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,2,93,14,11,2,1600.0,1648,88.0,-999.0,22.952
3,3,5,F3,Y2,F3Y2,8,8,6,FB0776,1526,C11R4,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,94,15,11,4,1600.0,1526,117.0,-999.0,53.628
2,2,5,F3,G3,F3G3,6,6,2,FB0844,1654,C11R5,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,95,1,11,5,1600.0,1654,81.0,-999.0,21.944
2,2,4,F3,G3,F3G3,6,6,1,FB0812,1700,C13R5,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,96,2,13,5,1600.0,1700,80.0,-999.0,9.534
2,2,30,F3,G3,F3G3,7,7,2,FB0841,1607,C12R1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,97,3,12,1,1600.0,1607,97.0,-999.0,30.548
2,2,41,F3,G3,F3G3,7,7,8,FB0842,1557,C12R3,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,98,4,12,3,1600.0,1557,103.0,-999.0,43.234
2,2,29,F3,G3,F3G3,7,7,1,FB0849,1700,C12R2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,99,5,12,2,1600.0,1700,96.0,-999.0,3.842
2,2,18,F3,G3,F3G3,6,6,10,FB0800,1709,C13R1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,100,6,13,1,1600.0,1709,89.0,-999.0,15.02
3,3,16,F3,G3,F3G3,9,9,2,FB0848,1699,C13R2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,101,7,13,2,1600.0,1699,129.0,-999.0,16.134
3,3,2,F3,G3,F3G3,8,8,3,FB0847,1582,C13R4,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,102,8,13,4,1600.0,1582,114.0,-999.0,36.212
3,3,27,F3,G3,F3G3,9,9,15,FB0769,1748,C12R5,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,103,9,12,5,1600.0,1748,142.0,-999.0,11.474
3,3,15,F3,G3,F3G3,9,9,1,FB0805,1700,C12R4,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,104,10,12,4,1600.0,1700,128.0,-999.0,-2.884
