Decoupler Box,HV Board,HV CH,Flange ID,Swage,Flange ID,ADC Board Order,ADC Board,ADC CH,PMTID,HV Value,Position,Coating,X,Y,Z,ADC2PE,Threshold ,ADC2PE2,HV On,SPE rate,Type
2,2,10,4,4,F1G3,6,6,7,FB0820,1650,C18R3,0,-1,-1,-1,1,-1,1,1,1,1
2,2,9,4,2,F3K5,6,6,6,FB0730,1650,C18R4,0,-1,-1,-1,1,-1,1,1,1,1
2,2,34,4,7,F1K5,7,7,6,FB0748,1650,C18R5,U ,-1,-1,-1,1,-1,1,1,1,1
3,3,46,4,5,F3G3,11,11,4,FB0620,1650,C19R1,0,-1,-1,-1,1,-1,1,1,1,1
3,3,34,4,8,F1G3,10,10,7,FB0749,1650,C19R2,U ,-1,-1,-1,1,-1,1,1,1,1
3,3,22,4,9,F1G3,9,9,10,FB0720,1650,C19R3,0,-1,-1,-1,1,-1,1,1,1,1
3,3,9,4,7,F2R1,8,8,10,FB0717,1650,C19R4,0,-1,-1,-1,1,-1,1,1,1,1
3,3,21,4,6,F3K5,9,9,9,FB0719,1650,C19R5,0,-1,-1,-1,1,-1,1,1,1,1
4,4,33,3,1,F2G3,13,13,7,FB0837,1650,C1R1,0,-1,-1,-1,1,-1,1,1,1,1
4,4,44,3,6,,14,14,1,FB0687,1650,C1R2,0,-1,-1,-1,1,-1,1,1,1,1
4,4,43,3,2,,13,13,15,FB0832,1650,C1R3,0,-1,-1,-1,1,-1,1,1,1,1
4,4,31,3,3,F1B4,13,13,5,FB0838,1650,C1R4,0,-1,-1,-1,1,-1,1,1,1,1
4,4,8,3,4,F3K5,11,11,14,FB0834,1650,C1R5,0,-1,-1,-1,1,-1,1,1,1,1
4,4,24,1,5,F2Y2,5,5,13,FB0790,1650,C201R0,0,-1,-1,-1,1,-1,1,1,1,1
1,1,16,5,4,F2Y2,2,2,1,FB0697,1650,C201R6,0,-1,-1,-1,1,-1,1,1,1,1
0,0,42,1,9,,16,16,9,FB0833,1650,C202R0,0,-1,-1,-1,1,-1,1,1,1,1
0,0,25,5,6,,14,14,14,FB0651,1650,C202R6,0,-1,-1,-1,1,-1,1,1,1,1
0,0,5,2,1,,14,14,6,FB0779,1650,C203R0,U ,-1,-1,-1,1,-1,1,1,1,1
0,0,37,5,11,,14,14,7,FB0636,1650,C203R6,0,-1,-1,-1,1,-1,1,1,1,1
0,0,43,1,4,,16,16,0,FB0723,1650,C204R0,0,-1,-1,-1,1,-1,1,1,1,1
0,0,28,5,16,,14,14,13,FB0819,1650,C204R6,0,-1,-1,-1,1,-1,1,1,1,1
0,0,45,2,4,,16,16,8,FB0715,1650,C205R0,0,-1,-1,-1,1,-1,1,1,1,1
0,0,15,5,18,,15,15,3,FB0755,1650,C205R6,U ,-1,-1,-1,1,-1,1,1,1,1
0,0,7,2,9,,15,15,11,FB0671,1650,C206R0,0,-1,-1,-1,1,-1,1,1,1,1
1,1,36,4,14,F3B4,4,4,5,FB0690,1650,C206R6,0,-1,-1,-1,1,-1,1,1,1,1
2,2,14,2,8,F1B4,5,5,3,FB0707,1650,C207R0,0,-1,-1,-1,1,-1,1,1,1,1
-999,-999,-999,-999,-999,-999,-999,-999,-999,FB0682,1650,C207R6,0,-1,-1,-1,1,-1,1,1,1,1
2,2,2,2,9,F3G3,5,5,1,FB0778,1650,C208R0,U ,-1,-1,-1,1,-1,1,1,1,1
0,0,10,4,22,F1G3,4,4,1,FB0686,1650,C208R6,0,-1,-1,-1,1,-1,1,1,1,1
2,2,27,2,4,F3B4,5,5,7,FB0788,1650,C209R0,0,-1,-1,-1,1,-1,1,1,1,1
