Decopler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMT,HV,Position,Coating,X,Y,Z,ADCToPE,Threshold,ADCToPE2,HV On,SPE rate(kHz),"Type (1”,2uncoat,3coat)"
1,0,27,F2,G3,F2G3,4,105,6,FB0580,1430,C12R3,0,-1.02002,0.273313,0,23.9701,9,40,1,5441.75,3
3,4,4,F1,Y14,F1Y14,4,105,7,FB0647,1450,C18R2,uncoated,-0.273313,-1.02002,0.211,18.1523,7,152,1,2583.69,2
3,4,16,F1,B12,F1B12,4,105,8,FB0559,1970,C21R3,0,0.528,-0.914523,0,17.3607,7,168,1,4978.88,3
3,4,28,F1,G17,F1G17,4,105,9,FB0477,1520,C3R2,0,0.914523,0.528,0.211,28.8577,9,40,1,6942.81,3
3,4,40,F1,G7,F1G7,4,105,10,FB0519,1600,C1R2,0,1.056,0,0.211,19.8799,7,104,1,0,3
2,2,4,F1,B3,F1B3,4,105,11,FB0646,1420,C19R4,uncoated,-1.93984E-16,-1.056,-0.211,14.3792,7,192,1,0,2
2,2,16,F1,Y3,F1Y3,4,105,12,FB0461,1710,C16R1,0,-0.746705,-0.746705,0.422,26.6323,9,232,1,4828,3
2,2,28,F2,Y6,F2Y6,4,105,13,FB0505,1550,C4R4,0,0.746705,0.746705,-0.211,29.8287,9,40,1,6092.94,3
2,2,40,F2,G16,F2G16,4,105,14,FB0534,1630,C15R1,0,-0.914523,-0.528,0.422,37.7681,13,168,1,4409.38,3
3,4,5,F1,B22,F1B22,5,95,0,FB0517,1350,C23R3,0,0.914523,-0.528,0,13.5674,7,168,1,0,3
3,4,17,F1,B11,F1B11,5,95,1,FB0566,1520,C21R2,0,0.528,-0.914523,0.211,26.4856,9,160,1,6091.56,3
3,4,29,F1,B16,F1B16,5,95,2,FB0650,1370,C22R2,uncoated,0.746705,-0.746705,0.211,22.4881,9,128,1,4172.44,2
3,4,41,F1,G5,F1G5,5,95,3,FB0518,1670,C24R5,0,1.02002,-0.273313,-0.422,16.5556,7,152,0,0,3
2,2,5,F1,B1,F1B1,5,95,4,FB0602,1420,C19R2,0,-1.93984E-16,-1.056,0.211,27.6769,9,160,1,5849.38,3
2,2,17,F2,G10,F2G10,5,95,5,FB0585,1530,C13R5,0,-1.056,1.29323E-16,-0.422,28.0596,9,136,1,4906.38,3
2,2,29,F2,Y7,F2Y7,5,95,6,FB0499,1500,C4R5,0,0.746705,0.746705,-0.422,34.2545,9,168,1,5293.75,3
2,2,41,F2,B13,F2B13,5,95,7,FB0551,1520,C9R4,U,-0.528,0.914523,-0.211,30.0092,11,184,1,4810.19,2
1,0,5,F2,Y14,F2Y14,5,95,8,FB0624,1530,C6R2,U,0.273313,1.02002,0.211,36.5234,11,224,0,0,2
1,0,17,F2,Y5,F2Y5,5,95,9,FB0479,1530,C4R3,0,0.746705,0.746705,0,29.4473,9,184,1,6291.06,3
1,0,4,F2,B16,F2B16,5,95,10,FB0547,1590,C10R2,U,-0.746705,0.746705,0.211,25.2229,9,176,1,5356.19,2
1,0,16,F2,G2,F2G2,5,95,11,FB0548,1500,C12R2,U,-1.02002,0.273313,0.211,22.6863,9,160,1,4985.69,2
1,0,28,F2,Y3,F2Y3,5,95,12,FB0478,1500,C4R1,0,0.746705,0.746705,0.422,25.6186,9,40,1,5324.19,3
0,0,0,F3,G30,F3G30,5,95,13,EJ301B,1425,C-1R1,U,-998,-998,-998,0,1,160,0,0,2
0,0,0,F3,G31,F3G31,5,95,14,EJ301A,1425,C-2R1,U,-998,-998,-998,0,1,136,0,0,2
2,2,19,F2,B8,F2B8,6,109,0,FB0568,1520,C8R4,0,-0.273313,1.02002,-0.211,24.9,9,-8,0,0,3
2,2,31,F2,B14,F2B14,6,109,1,FB0574,1440,C9R5,0,-0.528,0.914523,-0.422,11.1249,7,-8,1,5036.56,3
2,2,43,F2,Y15,F2Y15,6,109,2,FB0541,1660,C6R3,0,0.273313,1.02002,0,25.657,9,176,1,6670.25,3
1,0,7,F2,B23,F2B23,6,109,3,FB0553,1600,C11R4,U,-0.914523,0.528,-0.211,26.4412,9,136,1,5203.56,2
1,0,19,F2,Y4,F2Y4,6,109,4,FB0506,1520,C4R2,U,0.746705,0.746705,0.211,48.8379,15,144,1,6020.62,2
3,4,6,F1,Y15,F1Y15,6,109,5,FB0488,1480,C18R3,0,-0.273313,-1.02002,0,33.6431,11,160,1,5470.88,3
3,4,18,F1,B10,F1B10,6,109,6,FB0598,1570,C21R1,0,0.528,-0.914523,0.422,27.4465,9,312,1,4552.88,3
3,4,30,F1,B15,F1B15,6,109,7,FB0558,1650,C22R1,0,0.746705,-0.746705,0.422,36.1599,11,216,1,5079.44,3
3,4,42,F1,G6,F1G6,6,109,8,FB0512,1480,C1R1,0,1.056,0,0.422,-1,-1,160,0,0,3
